
Прококол загрузки файла с ценами от 2017-02-22 11:14:05.933891
Строка № 194 не загружена! ['34242', 'COSIBO', '4', '126', '82', '82', '88', '', '', '\n']
Строка № 195 не загружена! ['34364', 'COSIBO', '2', '1512', '983', '983', '1058', '', '', '\n']
Строка № 196 не загружена! ['34367', 'COSIBO', '0', '410', '266', '266', '287', '', '', '\n']
Строка № 197 не загружена! ['34382', 'COSIBO', '0', '2142', '1392', '1392', '1499', '', '', '\n']
Строка № 198 не загружена! ['34430', 'COSIBO', '0', '2646', '1720', '1720', '1852', '', '', '\n']
Строка № 199 не загружена! ['34605', 'COSIBO', '10', '454', '295', '295', '318', '', '', '\n']
Строка № 200 не загружена! ['34672', 'COSIBO', '0', '13104', '8518', '8518', '9173', '', '', '\n']
Строка № 201 не загружена! ['34707/1', 'COSIBO', '0', '1222', '794', '794', '856', '', '', '\n']
Строка № 202 не загружена! ['34841', 'COSIBO', '0', '403', '262', '262', '282', '', '', '\n']
Строка № 203 не загружена! ['35003', 'COSIBO', '0', '3024', '1966', '1966', '2117', '', '', '\n']
Строка № 204 не загружена! ['38627', 'COSIBO', '1', '2772', '1802', '1802', '1940', '', '', '\n']
Строка № 205 не загружена! ['38873/1', 'COSIBO', '0', '3856', '2506', '2506', '2699', '', '', '\n']
Строка № 206 не загружена! ['38874', 'COSIBO', '2', '2205', '1433', '1433', '1544', '', '', '\n']
Строка № 207 не загружена! ['38875/1', 'COSIBO', '0', '4347', '2826', '2826', '3043', '', '', '\n']
Строка № 208 не загружена! ['40734', 'COSIBO', '2', '869', '565', '565', '609', '', '', '\n']
Строка № 209 не загружена! ['40824', 'COSIBO', '3', '6552', '4259', '4259', '4586', '', '', '\n']
Строка № 210 не загружена! ['41151', 'COSIBO', '0', '5859', '3808', '3808', '4101', '', '', '\n']
Строка № 211 не загружена! ['60002/1', 'COSIBO', '0', '964', '627', '627', '675', '', '', '\n']
Строка № 212 не загружена! ['60304', 'COSIBO', '0', '3654', '2375', '2375', '2558', '', '', '\n']
Строка № 213 не загружена! ['60573', 'COSIBO', '2', '2772', '1802', '1802', '1940', '', '', '\n']
Строка № 214 не загружена! ['60808', 'COSIBO', '2', '403', '262', '262', '282', '', '', '\n']
Строка № 215 не загружена! ['60986', 'COSIBO', '11', '101', '66', '66', '71', '', '', '\n']
Строка № 216 не загружена! ['61196', 'COSIBO', '5', '504', '172', '172', '185', '', '', '\n']
Строка № 217 не загружена! ['63276', 'COSIBO', '2', '1827', '1188', '1188', '1279', '', '', '\n']
Строка № 218 не загружена! ['63330/1', 'COSIBO', '8', '958', '622', '622', '670', '', '', '\n']
Строка № 219 не загружена! ['63345/1', 'COSIBO', '2', '958', '622', '622', '670', '', '', '\n']
Строка № 220 не загружена! ['63349', 'COSIBO', '2', '6174', '4013', '4013', '4322', '', '', '\n']
Строка № 221 не загружена! ['63350', 'COSIBO', '2', '6174', '4013', '4013', '4322', '', '', '\n']
Строка № 222 не загружена! ['63350/1', 'COSIBO', '0', '6174', '4013', '4013', '4322', '', '', '\n']
Строка № 223 не загружена! ['64522/1', 'COSIBO', '0', '2394', '1556', '1556', '1676', '', '', '\n']
Строка № 227 не загружена! ['9109-936A', 'DELPHI', '0', '5009', '3456', '3657', '3406', '', '', '\n']
Строка № 229 не загружена! ['CE01840-12B1A', 'DELPHI', '4', '5705', '3936', '4164', '3879', '', '', '\n']
Строка № 230 не загружена! ['CE01841-12B1A', 'DELPHI', '1', '6787', '4683', '4954', '4615', '', '', '\n']
Строка № 244 не загружена! ['CV10000-40L1', 'DELPHI', '0', '2205', '1521', '1610', '1499', '', '', '\n']
Строка № 245 не загружена! ['CV10002-40L1', 'DELPHI', '6', '1117', '770', '815', '760', '', '', '\n']
Строка № 365 не загружена! ['GN10358-11B1', 'DELPHI', '0', '2168', '1496', '1583', '1474', '', '', '\n']
Строка № 366 не загружена! ['GN10359-11B1', 'DELPHI', '0', '1193', '823', '871', '811', '', '', '\n']
Строка № 367 не загружена! ['GN10361-11B1', 'DELPHI', '0', '3182', '2196', '2323', '2163', '', '', '\n']
Строка № 374 не загружена! ['GN10370-11B1', 'DELPHI', '1', '2107', '1453', '1538', '1433', '', '', '\n']
Строка № 376 не загружена! ['GN10372-11B1', 'DELPHI', '2', '2685', '1853', '1960', '1826', '', '', '\n']
Строка № 377 не загружена! ['GN10374-11B1', 'DELPHI', '0', '2041', '1409', '1490', '1388', '', '', '\n']
Строка № 380 не загружена! ['GN10377-11B1', 'DELPHI', '0', '2628', '1813', '1918', '1787', '', '', '\n']
Строка № 382 не загружена! ['GN10379-11B1', 'DELPHI', '0', '2238', '1545', '1634', '1522', '', '', '\n']
Строка № 385 не загружена! ['GN10384-11B1', 'DELPHI', '2', '2446', '1688', '1785', '1663', '', '', '\n']
Строка № 386 не загружена! ['GN10385-11B1', 'DELPHI', '0', '2644', '1824', '1930', '1798', '', '', '\n']
Строка № 388 не загружена! ['GN10386-11B1', 'DELPHI', '3', '2769', '1911', '2021', '1883', '', '', '\n']
Строка № 389 не загружена! ['GN10387-11B1', 'DELPHI', '0', '2317', '1598', '1691', '1575', '', '', '\n']
Строка № 390 не загружена! ['GN10388-11B1', 'DELPHI', '0', '2487', '1716', '1816', '1692', '', '', '\n']
Строка № 391 не загружена! ['GN10389-11B1', 'DELPHI', '1', '1908', '1317', '1393', '1298', '', '', '\n']
Строка № 393 не загружена! ['GN10391-11B1', 'DELPHI', '0', '1084', '748', '791', '737', '', '', '\n']
Строка № 396 не загружена! ['GN10398-11B1', 'DELPHI', '0', '907', '626', '662', '617', '', '', '\n']
Строка № 404 не загружена! ['GN10420-11B1', 'DELPHI', '0', '1443', '995', '1053', '981', '', '', '\n']
Строка № 406 не загружена! ['GN10425-11B1', 'DELPHI', '0', '1958', '1351', '1429', '1331', '', '', '\n']
Строка № 419 не загружена! ['GN10455-11B1', 'DELPHI', '0', '2097', '1447', '1531', '1426', '', '', '\n']
Строка № 421 не загружена! ['GN10457-12B1', 'DELPHI', '0', '2652', '1830', '1936', '1804', '', '', '\n']
